memberNumber,name,status
500600700,Noah Williams,SUSPENDED
111111111,Alice Valid,VALIDATED
600700800,Olivia Scott,VALIDATED
222222222,Bob Suspended,SUSPENDED
333333333,Carol Nguyen,VALIDATED
444444444,David Park,VALIDATED
300400500,Liam Foster,VALIDATED
555555555,Eva Martinez,SUSPENDED
888888888,Henry Patel,VALIDATED
666666666,Frank Thompson,VALIDATED
777777777,Grace Lee,VALIDATED
999999999,Isabella Chen,VALIDATED
100200300,James Okafor,VALIDATED
200300400,Karen Brooks,SUSPENDED
400500600,Mia Gonzalez,VALIDATED
